signal_set,policy,policy_version,fee_model,n_signals,n_trades,unfundable,depth_unknown,epsilon_unavailable,delay_unavailable,fee_rate_unmapped,staked_usd,gross_pnl_usd,fees_usd,fee_share_of_gross,net_pnl_usd,cents_per_trade,cents_per_trade_se,t_stat,hit_rate,mean_hold_days,return_on_locked_capital,annualized_return_on_locked_capital,capital_efficiency,max_capital_efficiency,max_drawdown_usd,longest_losing_streak,synthetic_fill_share,date_start,date_end,underpowered
ladder-rv-hist,mirror,1,none (fee-free — the venue's real taker fee is NOT modelled),5927,2067,0,2067,0,0,0,20670,1675.237284,0,0,1675.237284,4.626343,0.801362,5.7731,0.595065,10.823955,0.081047,2.733019,1.956119,5.16,2216.236478,72,1,2026-04-01,2026-07-24,no
ladder-rv-hist,gate,1,none (fee-free — the venue's real taker fee is NOT modelled),5927,1161,0,1161,550,0,0,11610,1809.965365,0,0,1809.965365,6.784195,1.192025,5.691319,0.51938,9.956847,0.155897,5.714906,1.010702,2.59,1675.681136,115,1,2026-04-01,2026-07-24,no
ladder-rv-hist,kelly,1,none (fee-free — the venue's real taker fee is NOT modelled),5927,793,0,793,360,0,0,30205.993414,6819.723666,0,0,6819.723666,6.939029,1.494287,4.643706,0.500631,8.373396,0.225774,10.088356,2.157288,5.401417,2238.048363,41,1,2026-04-01,2026-07-24,no
ladder-rv-hist,anchor,1,none (fee-free — the venue's real taker fee is NOT modelled),5927,690,0,690,322,0,0,17094.787658,3564.835498,0,0,3564.835498,7.125725,1.586799,4.490629,0.513043,8.022177,0.208533,9.509659,1.19629,3.043829,1428.368053,26,1,2026-04-01,2026-07-24,no
ladder-rv-hist,fade,1,none (fee-free — the venue's real taker fee is NOT modelled),5927,358,0,358,358,0,0,9585.724327,2031.7339,0,0,2031.7339,10.256983,2.15891,4.751001,0.706704,9.789979,0.211954,8.039917,0.806449,1.62,834.866632,28,1,2026-04-01,2026-07-24,no
ladder-rv-hist,patient,1,none (fee-free — the venue's real taker fee is NOT modelled),5927,324,0,324,324,684,0,8696.683644,865.286146,0,0,865.286146,5.43287,2.276826,2.38616,0.651235,10.07634,0.099496,3.717403,0.749369,1.77,1154.040232,27,1,2026-04-02,2026-07-24,no
ladder-rv-hist,sniper,1,none (fee-free — the venue's real taker fee is NOT modelled),5927,405,0,405,190,0,0,21679.608258,6304.295401,0,0,6304.295401,10.469753,2.172611,4.818973,0.506173,7.425926,0.290794,14.406612,1.396486,3.859608,2173.381956,26,1,2026-04-01,2026-07-24,no
ladder-rv-hist,harvest,1,none (fee-free — the venue's real taker fee is NOT modelled),5927,463,0,463,463,0,0,12657.104737,1757.588714,0,0,1757.588714,7.756695,1.210467,6.408019,0.850972,3.123469,0.138862,16.539856,0.339115,1.06,397.981657,5,1,2026-04-01,2026-07-24,no
ladder-rv-hist,mirror,2,"polymarket-taker: shares x rate x p x (1-p) per fill [crypto 0.07, culture 0.05, economics 0.05, finance 0.04, general 0.05, geopolitics 0, mentions 0.04, politics 0.04, sports 0.05, tech 0.04, weather 0.05]",5927,2067,0,2067,0,0,0,20670,1675.237284,419.96865,0.250692,1255.268634,4.012528,0.801278,5.00766,0.595065,10.823955,0.060729,2.047873,1.956119,5.16,2432.705578,72,1,2026-04-01,2026-07-24,no
ladder-rv-hist,gate,2,"polymarket-taker: shares x rate x p x (1-p) per fill [crypto 0.07, culture 0.05, economics 0.05, finance 0.04, general 0.05, geopolitics 0, mentions 0.04, politics 0.04, sports 0.05, tech 0.04, weather 0.05]",5927,1161,0,1161,550,0,0,11610,1809.965365,288.3691,0.159323,1521.596265,6.025441,1.192702,5.051925,0.51938,9.956847,0.131059,4.80439,1.010702,2.59,1783.113736,115,1,2026-04-01,2026-07-24,no
