slug,start,league,pin_match,pm_hc_team,pin_fav,aligned,pm_hc,pin_hc,pin_hc_pow,hc_overround,pm_hc_vol,pm_hc_spread,pm_over,pin_over,pin_over_pow,ou_overround,pm_tot_vol,pm_ml,pin_ml,pin_ml_pow,ml_overround
dota2-pckcp-jenz-2026-07-22,2026-07-25T10:00:00+00:00,Dota 2 - EPL Masters Play-In,Puckchamp vs Jenz,Team Jenz,Jenz,True,0.36,0.3785,0.3662,1.0654,1562.3001,0.06,0.48,0.4759,0.4733,1.0712,10,0.345,0.3645,0.3503,1.0676
cs2-dendel-faze-2026-07-25,2026-07-25T10:00:00+00:00,CS2 - BLAST Bounty Play-In,FaZe vs DENDELE,FaZe,FaZe,True,0.405,0.406,0.3991,1.0482,10977.7662,0.01,0.475,0.449,0.4447,1.0555,8725.3155,0.325,0.3214,0.3083,1.0477
mlbb-yg-pro-2026-07-25,2026-07-25T10:30:00+00:00,Mobile Legends - MSC,Yangon Galacticos vs PRO,Yangon Galacticos,Yangon Galacticos,True,0.43,0.3049,0.2792,1.0825,,0.38,0.47,0.4649,0.4611,1.0702,33.2556,0.505,0.5212,0.5235,1.0697
lol-tes-tt-2026-07-25,2026-07-25T11:00:00+00:00,League of Legends - LPL,Top Esports vs ThunderTalk,Top Esports,Top Esports,True,0.525,0.5342,0.5367,1.0473,31089.1046,0.01,0.39,0.3913,0.3812,1.0603,745.7434,0.805,0.7914,0.8209,1.063
val-ts3-t1-2026-07-25,2026-07-25T11:00:00+00:00,Valorant - Champions Tour: Pacific,Secret vs T1,T1,T1,True,0.46,0.498,0.4978,1.0697,10963.7606,0.02,0.415,0.4138,0.4045,1.0693,261.435,0.245,0.2371,0.2072,1.0707
val-tyloo-xlg-2026-07-25,2026-07-25T11:00:00+00:00,Valorant - Champions Tour: China,TYLOO vs XLG,XLG Gaming,XLG,True,0.32,0.3242,0.3046,1.071,836.2268,0.02,0.475,0.4808,0.4788,1.0701,906.5272,0.445,0.4254,0.4175,1.0684
lol-shg-tsw-2026-07-25,2026-07-25T11:30:00+00:00,League of Legends - LCP,Fukuoka SoftBank HAWKS vs Secret Whales,Team Secret Whales,Secret Whales,True,0.525,0.502,0.5022,1.0697,757.4157,0.01,0.405,0.4147,0.4016,1.0961,85.0941,0.215,0.2472,0.2097,1.0903
mlbb-onic-rort-2026-07-25,2026-07-25T12:00:00+00:00,Mobile Legends - MSC,ONIC vs Aurora,ONIC,ONIC,True,0.375,0.3875,0.3742,1.0754,15.625,0.05,0.44,0.447,0.4413,1.0703,32.9431,0.635,0.6297,0.6451,1.0758
cs2-tl1-g2-2026-07-25,2026-07-25T12:30:00+00:00,CS2 - BLAST Bounty Play-In,G2 vs Liquid,G2,G2,True,0.415,0.4013,0.3943,1.047,28256.1301,0.01,0.455,0.4401,0.4348,1.057,1605.4304,0.335,0.3314,0.3191,1.0478
dota2-dan-lvlup1-2026-07-25,2026-07-25T13:00:00+00:00,Dota 2 - EPL Masters Play-In,Dandelions vs Level UP,Level UP,Level UP,True,0.52,0.6202,0.6324,1.0659,,0.62,0.33,0.3419,0.3222,1.0791,,0.175,0.1574,0.1077,1.0841
cs2-aur1-echo-2026-07-25,2026-07-25T13:00:00+00:00,CS2 - StarLadder StarSeries Europe Qualifier,Aurora vs Echo,Aurora Gaming,Aurora,True,0.565,0.5704,0.5772,1.0629,1934.1908,0.01,0.36,0.3674,0.3517,1.0758,265.8592,0.805,0.8143,0.8583,1.0834
